|6.6.6
si52_norm_1.tab
1
T(K)
200.00000000000011
200.00000000000011
116241654
13
T(K) P(bar) Pl Pl Cpx Cpx Opx Gt ky qtz coes Sp O
1082.75 20959.6 NaN NaN 49.2194 NaN NaN 34.8518 3.52128 12.4075 NaN NaN NaN
1084.77 21161.6 NaN NaN 49.1308 NaN NaN 34.9606 3.48613 12.4225 NaN NaN NaN
1086.79 21363.6 NaN NaN 49.0454 NaN NaN 35.0699 3.44365 12.4410 NaN NaN NaN
1088.81 21565.7 NaN NaN 48.9590 NaN NaN 35.1810 3.39962 12.4603 NaN NaN NaN
1090.83 21767.7 NaN NaN 48.8658 NaN NaN 35.2972 3.35898 12.4780 NaN NaN NaN
1092.85 21969.7 NaN NaN 48.7855 NaN NaN 35.3995 3.32031 12.4947 NaN NaN NaN
1094.87 22171.7 NaN NaN 48.6874 NaN NaN 35.5204 3.27974 12.5124 NaN NaN NaN
1096.89 22373.7 NaN NaN 48.6035 NaN NaN 35.6268 3.24019 12.5295 NaN NaN NaN
1098.91 22575.8 NaN NaN 48.5077 NaN NaN 35.7475 3.19564 12.5492 NaN NaN NaN
1100.93 22777.8 NaN NaN 48.4229 NaN NaN 35.8547 3.15600 12.5663 NaN NaN NaN
1102.95 22979.8 NaN NaN 48.3280 NaN NaN 35.9742 3.11225 12.5856 NaN NaN NaN
1104.97 23181.8 NaN NaN 48.2429 NaN NaN 36.0822 3.07161 12.6033 NaN NaN NaN
1106.99 23383.8 NaN NaN 48.1466 NaN NaN 36.2032 3.02755 12.6227 NaN NaN NaN
1109.01 23585.9 NaN NaN 48.0532 NaN NaN 36.3208 2.98432 12.6417 NaN NaN NaN
1111.03 23787.9 NaN NaN 47.9667 NaN NaN 36.4315 2.94117 12.6606 NaN NaN NaN
1113.05 23989.9 NaN NaN 47.8639 NaN NaN 36.5616 2.89172 12.6827 NaN NaN NaN
1115.07 24191.9 NaN NaN 47.7801 NaN NaN 36.6653 2.85726 12.6974 NaN NaN NaN
1117.09 24393.9 NaN NaN 47.6864 NaN NaN 36.7843 2.81181 12.7175 NaN NaN NaN
1119.11 24596.0 NaN NaN 47.5933 NaN NaN 36.9002 2.77138 12.7351 NaN NaN NaN
1121.13 24798.0 NaN NaN 47.4954 NaN NaN 37.0234 2.72583 12.7553 NaN NaN NaN
1123.15 25000.0 NaN NaN 47.3973 NaN NaN 37.1466 2.68098 12.7752 NaN NaN NaN
