setting,L0,z0,z1,As,hr0,k,Ts,Tlab,Da,composition,T0,T1,P0,rho0,critical_depth,critical_pressure,critical_temperature,plag_out_pressure,plag_out_temperature,plag_out_depth,qs0,qs1,effective_delta_rho,max_rho,max_densification_rate_1Myr,max_densification_rate_100kyr,max_densification_rate_50kyr,max_densification_rate_10kyr
cold-1,92500.0,30000.0,80000.0,1.7e-06,10000.0,3.0,283.15,1603.15,100.0,sammon_2021_lower_crust_norm,746.7268955651923,963.4805966918177,8181.540000000001,3264.284189619918,45465.46546546542,12399.2508108108,792.7187843537099,12453.849009008998,793.4377794061678,45665.66566566563,0.0579731496106038,0.05648695752016866,0.021648745746058167,3.4217537972934506,15.985773722706806,16.146618948196583,16.147852072580996,16.147852072580996
cold-1,92500.0,30000.0,80000.0,1.7e-06,10000.0,3.0,283.15,1603.15,100.0,sammon_2021_deep_crust_norm,746.7268955651923,963.4805966918177,8181.540000000001,3154.520746858635,85000.0,30000.0,963.4742912085127,12890.634594594623,799.3034623877631,47267.26726726737,0.0579731496106038,0.05648695752016866,nan,3.3368414381151004,21.125901791858286,21.900000113548984,21.901082869893614,21.901082869893614
cold-1,92500.0,30000.0,80000.0,1.7e-06,10000.0,3.0,283.15,1603.15,100.0,hacker_2015_md_xenolith_norm,746.7268955651923,963.4805966918177,8181.540000000001,3304.10757259515,41661.661661661616,11361.885045045034,779.6581274525336,12467.498558558571,793.6180211422437,45715.71571571576,0.0579731496106038,0.05648695752016866,0.062014781228874445,3.46710842899502,16.42942964871977,16.63420044924141,16.6347714376266,16.6347714376266
cold-1,92500.0,30000.0,80000.0,1.7e-06,10000.0,3.0,283.15,1603.15,100.0,mackwell_1998_maryland_diabase_norm,746.7268955651923,963.4805966918177,8181.540000000001,3355.9833921047307,33603.60360360364,9164.307567567577,755.7570506183251,11866.91837837837,785.8741443984173,43513.51351351348,0.0579731496106038,0.05648695752016866,0.07441793751817678,3.4871124056376517,11.469298808926395,11.621004327790008,11.621832108712804,11.621832108712804
cold-1,92500.0,30000.0,80000.0,1.7e-06,10000.0,3.0,283.15,1603.15,300.0,sammon_2021_lower_crust_norm,746.7268955651923,963.4805966918177,8181.540000000001,3264.284189619918,44864.86486486486,12235.456216216216,790.5807554079291,12276.404864864871,791.1125972160261,45015.01501501504,0.0579731496106038,0.05648695752016866,0.02180388255317485,3.42175950133928,19.68321186680584,20.01411157026552,20.020645452607486,20.020645452607486
cold-1,92500.0,30000.0,80000.0,1.7e-06,10000.0,3.0,283.15,1603.15,300.0,sammon_2021_deep_crust_norm,746.7268955651923,963.4805966918177,8181.540000000001,3154.520746858635,85000.0,30000.0,963.4742912104838,12672.241801801794,796.3453478776041,46466.46646646643,0.0579731496106038,0.05648695752016866,nan,3.33684451023664,26.986881776847845,28.585527846679796,28.60669354595832,28.60669354595832
cold-1,92500.0,30000.0,80000.0,1.7e-06,10000.0,3.0,283.15,1603.15,300.0,hacker_2015_md_xenolith_norm,746.7268955651923,963.4805966918177,8181.540000000001,3304.10757259515,41511.51151151142,11320.93639639637,779.1659621250907,12290.054414414373,791.2902726925685,45065.06506506491,0.0579731496106038,0.05648695752016866,0.06272043694387737,3.4671253500601518,20.266152967558245,20.63596107402376,20.643489829404196,20.643489829404196
cold-1,92500.0,30000.0,80000.0,1.7e-06,10000.0,3.0,283.15,1603.15,300.0,mackwell_1998_maryland_diabase_norm,746.7268955651923,963.4805966918177,8181.540000000001,3355.9833921047307,33503.50350350356,9137.008468468484,755.4923262041003,11730.422882882905,784.1674821577284,43013.01301301309,0.0579731496106038,0.05648695752016866,0.07488848696268066,3.487167290051457,13.463819111622701,13.822228571070914,13.824053531366795,13.824053531366795
cold-1,92500.0,30000.0,80000.0,1.7e-06,10000.0,3.0,283.15,1603.15,1000.0,sammon_2021_lower_crust_norm,746.7268955651923,963.4805966918177,8181.540000000001,3264.284189619918,44564.564564564746,12153.558918918969,789.5224069646157,12180.858018018062,789.8743976533749,44664.66466466482,0.0579731496106038,0.05648695752016866,0.021901597820256337,3.4217622824009695,23.553436973598696,24.353786821806047,24.37642031691429,24.37642031691429
cold-1,92500.0,30000.0,80000.0,1.7e-06,10000.0,3.0,283.15,1603.15,1000.0,sammon_2021_deep_crust_norm,746.7268955651923,963.4805966918177,8181.540000000001,3154.520746858635,85000.0,30000.0,963.4742915561782,12563.045405405412,794.8852452037972,46066.06606606609,0.0579731496106038,0.05648695752016866,nan,3.3368458438526596,33.97948012409228,36.750705621837724,36.811271340749805,36.811271340749805
cold-1,92500.0,30000.0,80000.0,1.7e-06,10000.0,3.0,283.15,1603.15,1000.0,hacker_2015_md_xenolith_norm,746.7268955651923,963.4805966918177,8181.540000000001,3304.10757259515,41461.46146146137,11307.286846846822,779.0023047384883,12194.507567567509,790.0506911686068,44714.71471471449,0.0579731496106038,0.05648695752016866,0.06310451355936822,3.4671323908140708,24.284689265938532,25.15309742470397,25.154217149961166,25.154217149961166
cold-1,92500.0,30000.0,80000.0,1.7e-06,10000.0,3.0,283.15,1603.15,1000.0,mackwell_1998_maryland_diabase_norm,746.7268955651923,963.4805966918177,8181.540000000001,3355.9833921047307,33503.50350350352,9137.008468468473,755.4923262486824,11675.824684684729,783.4903456797035,42812.812812812976,0.0579731496106038,0.05648695752016866,0.07517868542429428,3.4871871595940775,15.206165250025716,16.120657310581805,16.125259639608508,16.125259639608508
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,0.01,sammon_2021_lower_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3276.590133880535,85000.0,30000.0,904.1480313282873,nan,nan,nan,0.052856371413523534,0.05241373840354241,nan,3.3198063230963926,0.9431866173234583,0.9433170167905175,0.9433181608582621,0.9433181608582621
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,0.01,sammon_2021_deep_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3168.701891464771,85000.0,30000.0,904.1480313282873,nan,nan,nan,0.052856371413523534,0.05241373840354241,nan,3.2200530136817713,1.1175967459880298,1.117730933668427,1.1177321028086933,1.1177321028086933
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,0.01,hacker_2015_md_xenolith_norm,702.4908682523003,904.1538978158153,8181.540000000001,3319.2635041098633,85000.0,30000.0,904.1480313282873,nan,nan,nan,0.052856371413523534,0.05241373840354241,nan,3.3631071043672476,0.9660955787676209,0.9662357138055842,0.9662371417335869,0.9662371417335869
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,0.01,mackwell_1998_maryland_diabase_norm,702.4908682523003,904.1538978158153,8181.540000000001,3370.2907083297264,70890.89089089089,19333.221981981984,853.7519499983616,nan,nan,nan,0.052856371413523534,0.05241373840354241,0.002255944433615539,3.408808813483005,0.8450073041618789,0.8450766983533025,0.8450772838819234,0.8450772838819234
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,0.03,sammon_2021_lower_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3276.590133880535,85000.0,30000.0,904.1480313282873,nan,nan,nan,0.052856371413523534,0.05241373840354241,nan,3.335644542780399,1.306822118969057,1.3104939056410179,1.3106757199512074,1.3106757199512074
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,0.03,sammon_2021_deep_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3168.701891464771,85000.0,30000.0,904.1480313246041,nan,nan,nan,0.052856371413523534,0.05241373840354241,nan,3.2369842814097503,1.4872452298983085,1.4919347820591102,1.4921803518977932,1.4921803518977932
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,0.03,hacker_2015_md_xenolith_norm,702.4908682523003,904.1538978158153,8181.540000000001,3319.2635041098633,85000.0,30000.0,904.1480313282874,nan,nan,nan,0.052856371413523534,0.05241373840354241,nan,3.3792519606817306,1.3064838765318347,1.3101605760116883,1.3103566440975762,1.3103566440975762
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,0.03,mackwell_1998_maryland_diabase_norm,702.4908682523003,904.1538978158153,8181.540000000001,3370.2907083297264,58078.07807807812,15838.937297297309,793.1639562133773,nan,nan,nan,0.052856371413523534,0.05241373840354241,0.00825212464025679,3.4217063073138676,1.1140069711524,1.1142075900020871,1.1142078642902928,1.1142078642902928
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,0.1,sammon_2021_lower_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3276.590133880535,85000.0,30000.0,904.1480313282873,nan,nan,nan,0.052856371413523534,0.05241373840354241,nan,3.3693945078022063,2.155368150154754,2.155482680026781,2.1554833838076433,2.1554833838076433
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,0.1,sammon_2021_deep_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3168.701891464771,85000.0,30000.0,904.1480316420422,nan,nan,nan,0.052856371413523534,0.05241373840354241,nan,3.273192765256821,2.4323237884961424,2.4326997086829136,2.432724538135673,2.432724538135673
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,0.1,hacker_2015_md_xenolith_norm,702.4908682523003,904.1538978158153,8181.540000000001,3319.2635041098633,75295.29529529525,20534.38234234233,877.3595142510811,nan,nan,nan,0.052856371413523534,0.05241373840354241,0.004632190757377186,3.4134864049109437,2.1650016652493735,2.165262426338718,2.1652625999920656,2.1652625999920656
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,0.1,mackwell_1998_maryland_diabase_norm,702.4908682523003,904.1538978158153,8181.540000000001,3370.2907083297264,47817.81781781787,13040.779639639655,753.3263805374903,nan,nan,nan,0.052856371413523534,0.05241373840354241,0.02125887273318536,3.449100017903161,1.765181123112196,1.7652605483576944,1.7652617726129105,1.7652617726129105
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,0.3,sammon_2021_lower_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3276.590133880535,77847.84784784784,21230.509369369367,891.6922856654991,nan,nan,nan,0.052856371413523534,0.05241373840354241,0.0020798709418016407,3.408294715823488,3.202582009139031,3.203097159725913,3.2031035629755036,3.2031035629755036
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,0.3,sammon_2021_deep_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3168.701891464771,85000.0,30000.0,904.148031342503,nan,nan,nan,0.052856371413523534,0.05241373840354241,nan,3.3177615235351157,3.617398394666753,3.618548101197662,3.6185484318178047,3.6185484318178047
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,0.3,hacker_2015_md_xenolith_norm,702.4908682523003,904.1538978158153,8181.540000000001,3319.2635041098633,60130.13013013013,16398.56882882883,802.0578564827056,nan,nan,nan,0.052856371413523534,0.05241373840354241,0.02627225566620466,3.452872368460471,3.229117200721194,3.2300240880004596,3.230089946417703,3.230089946417703
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,0.3,mackwell_1998_maryland_diabase_norm,702.4908682523003,904.1538978158153,8181.540000000001,3370.2907083297264,36006.006006006035,9819.485945945955,717.0238235111474,20575.33099099101,878.1893922508182,75445.4454454455,0.052856371413523534,0.05241373840354241,0.036806425255757634,3.4787411800070283,2.6335797736383815,2.634447149990634,2.634463115263744,2.634463115263744
