setting,L0,z0,z1,As,hr0,k,Ts,Tlab,Da,composition,T0,T1,P0,rho0,critical_depth,critical_pressure,critical_temperature,plag_out_pressure,plag_out_temperature,plag_out_depth,qs0,qs1,effective_delta_rho,max_delta_rho,max_rho,max_densification_rate_1Myr,max_densification_rate_100kyr,max_densification_rate_50kyr,max_densification_rate_10kyr
e,78000.0,30000.0,80000.0,1.8e-06,11000.0,3.0,283.15,1603.15,300.0,hacker_2015_md_xenolith,830.7946291676318,1074.9477048501685,8181.540000000001,3173.4999188886463,49019.01901901905,13368.368828828838,897.5046268421943,15661.493153153162,937.2362507405451,57427.42742742746,0.06777924806421197,0.06439850765841142,0.066908701821723,0.08098513768040849,3.4676668098845256,11.099989026570999,11.116637330711459,11.116866361237625,11.116866361237625
e,78000.0,30000.0,80000.0,1.8e-06,11000.0,3.0,283.15,1603.15,300.0,mackwell_1998_maryland_diabase,830.7946291676318,1074.9477048501685,8181.540000000001,3247.2350090202935,41211.2112112112,11239.039099099098,866.2315174768282,14733.323783783779,920.3982398342788,54024.024024024,0.06777924806421197,0.06439850765841142,0.08356704376182959,0.10279111017285514,3.4894727823769887,10.706778636556416,10.729514899273845,10.729805864096672,10.729805864096672
e,78000.0,30000.0,80000.0,1.8e-06,11000.0,3.0,283.15,1603.15,1000.0,sammon_2021_lower_crust,830.7946291676318,1074.9477048501685,8181.540000000001,3152.8584020211056,50470.47047047047,13764.205765765766,903.9148108614423,14514.930990990984,916.5858048093147,53223.2232232232,0.06777924806421197,0.06439850765841142,0.03332686845303219,0.03666323374287872,3.423344905946919,11.366905370385442,11.394085915010827,11.394690132855061,11.394690132855061
e,78000.0,30000.0,80000.0,1.8e-06,11000.0,3.0,283.15,1603.15,1000.0,sammon_2021_deep_crust,830.7946291676318,1074.9477048501685,8181.540000000001,3034.911824180363,85000.0,30000.0,1074.9406023040221,15238.357117117097,929.4325496568198,55875.875875875805,0.06777924806421197,0.06439850765841142,nan,nan,3.339427173523283,13.121134756944787,13.207001959294477,13.207971365363397,13.207971365363397
e,78000.0,30000.0,80000.0,1.8e-06,11000.0,3.0,283.15,1603.15,1000.0,hacker_2015_md_xenolith,830.7946291676318,1074.9477048501685,8181.540000000001,3173.4999188886463,46966.96696696699,12808.737297297304,888.7611006248184,14610.47783783785,918.2467379833299,53573.573573573616,0.06777924806421197,0.06439850765841142,0.07086131303871711,0.08106419448254565,3.4677458666873164,12.643207307482356,12.697279469108617,12.697500794699861,12.697500794699861
e,78000.0,30000.0,80000.0,1.8e-06,11000.0,3.0,283.15,1603.15,1000.0,mackwell_1998_maryland_diabase,830.7946291676318,1074.9477048501685,8181.540000000001,3247.2350090202935,39959.95995995992,10897.800360360348,861.722985583107,13791.504864864854,904.3637869590506,50570.57057057052,0.06777924806421197,0.06439850765841142,0.08725398634376628,0.10317157237325603,3.4898532445773895,12.227314711331653,12.278506817985445,12.278627494886946,12.278627494886946
e,78000.0,30000.0,80000.0,1.8e-06,11000.0,3.0,283.15,1603.15,3000.0,sammon_2021_lower_crust,830.7946291676318,1074.9477048501685,8181.540000000001,3152.8584020211056,49319.319319319264,13450.266126126111,898.815526075427,14078.14540540539,909.1317462300905,51621.62162162157,0.06777924806421197,0.06439850765841142,0.034447279810982126,0.036665156718161285,3.423346828922295,12.7512342119953,12.865080632470486,12.86612202004399,12.86612202004399
e,78000.0,30000.0,80000.0,1.8e-06,11000.0,3.0,283.15,1603.15,3000.0,sammon_2021_deep_crust,830.7946291676318,1074.9477048501685,8181.540000000001,3034.911824180363,85000.0,30000.0,1074.9406023067047,14787.921981981992,921.3602404177075,54224.22422422426,0.06777924806421197,0.06439850765841142,nan,nan,3.3394122594492077,15.935243250267039,16.01971317134219,16.022062938872455,16.022062938872455
e,78000.0,30000.0,80000.0,1.8e-06,11000.0,3.0,283.15,1603.15,3000.0,hacker_2015_md_xenolith,830.7946291676318,1074.9477048501685,8181.540000000001,3173.4999188886463,45665.6656656656,12453.849009008993,883.4101372335501,14132.743603603576,910.0510490445326,51821.82182182171,0.06777924806421197,0.06439850765841142,0.0720369918201819,0.08109385536934965,3.467775527573148,15.13196223273297,15.239288894057669,15.239460853303093,15.239460853303093
e,78000.0,30000.0,80000.0,1.8e-06,11000.0,3.0,283.15,1603.15,3000.0,mackwell_1998_maryland_diabase,830.7946291676318,1074.9477048501685,8181.540000000001,3247.2350090202935,38808.80880880876,10583.860720720708,857.6979021023641,13354.71927927926,897.2869220433855,48968.96896896889,0.06777924806421197,0.06439850765841142,0.08845668153631926,0.10332597951457556,3.490007651718709,14.556825875799229,14.764065209972173,14.764128721831455,14.764128721831455
e,78000.0,30000.0,80000.0,1.8e-06,11000.0,3.0,283.15,1603.15,10000.0,sammon_2021_lower_crust,830.7946291676318,1074.9477048501685,8181.540000000001,3152.8584020211056,48918.9189189189,13341.069729729725,897.0694396465004,13873.402162162154,905.7160529499566,50870.87087087084,0.06777924806421197,0.06439850765841142,0.03510320446060257,0.03666894051364045,3.4233506127177797,15.558575982376698,15.848988752461239,15.850307524960968,15.850307524960968
e,78000.0,30000.0,80000.0,1.8e-06,11000.0,3.0,283.15,1603.15,10000.0,sammon_2021_deep_crust,830.7946291676318,1074.9477048501685,8181.540000000001,3034.911824180363,85000.0,30000.0,1074.9406023243534,14555.879639639637,917.2962988996717,53373.37337337337,0.06777924806421197,0.06439850765841142,nan,nan,3.339408611755979,19.321909204844975,19.514714585536012,19.519046446646268,19.519046446646268
e,78000.0,30000.0,80000.0,1.8e-06,11000.0,3.0,283.15,1603.15,10000.0,hacker_2015_md_xenolith,830.7946291676318,1074.9477048501685,8181.540000000001,3173.4999188886463,45265.26526526521,12344.6526126126,881.793932267813,13928.000360360347,906.6220116490204,51071.07107107102,0.06777924806421197,0.06439850765841142,0.07269591510953233,0.0811001496428605,3.467781821846994,19.231503346193467,19.370280400970074,19.371762938080835,19.371762938080835
e,78000.0,30000.0,80000.0,1.8e-06,11000.0,3.0,283.15,1603.15,10000.0,mackwell_1998_maryland_diabase,830.7946291676318,1074.9477048501685,8181.540000000001,3247.2350090202935,37757.75775775775,10297.220180180178,854.1255755692306,13177.275135135134,894.4769982338668,48318.318318318314,0.06777924806421197,0.06439850765841142,0.08795347239929255,0.10339044853495594,3.4900721207390895,18.567564041874654,18.885028238339913,18.885923349178054,18.885923349178054
f,85000.0,30000.0,80000.0,1.75e-06,10500.0,3.0,283.15,1603.15,0.01,sammon_2021_lower_crust,786.959610982067,1018.7372990097317,8181.540000000001,3226.4678495737076,85000.0,30000.0,1018.7305564703629,nan,nan,nan,0.06269407463087157,0.06041949313330457,nan,nan,3.2835861147815564,0.7390058126930916,0.7517475494075554,0.7576131965948935,0.7576131965948935
f,85000.0,30000.0,80000.0,1.75e-06,10500.0,3.0,283.15,1603.15,0.01,sammon_2021_deep_crust,786.959610982067,1018.7372990097317,8181.540000000001,3113.634298154099,85000.0,30000.0,1018.7305564703629,nan,nan,nan,0.06269407463087157,0.06041949313330457,nan,nan,3.1765684238056804,0.8747217699782173,0.8893269757119517,0.8955398190335018,0.8955398190335018
f,85000.0,30000.0,80000.0,1.75e-06,10500.0,3.0,283.15,1603.15,0.01,hacker_2015_md_xenolith,786.959610982067,1018.7372990097317,8181.540000000001,3257.1675539995213,85000.0,30000.0,1018.7305564703627,nan,nan,nan,0.06269407463087157,0.06041949313330457,nan,nan,3.3138780217567607,0.7219321053988437,0.7341376720544579,0.739796675755806,0.739796675755806
f,85000.0,30000.0,80000.0,1.75e-06,10500.0,3.0,283.15,1603.15,0.01,mackwell_1998_maryland_diabase,786.959610982067,1018.7372990097317,8181.540000000001,3312.5524842437917,85000.0,30000.0,1018.7305564703626,nan,nan,nan,0.06269407463087157,0.06041949313330457,nan,nan,3.3672912402988113,0.6920178135361429,0.7038669772232653,0.710461656430989,0.710461656430989
