|6.6.6
si50_norm_1.tab
1
T(K)
200.00000000000011
200.00000000000011
1234035958
13
T(K) P(bar) Pl Pl Sp Cpx Cpx Opx Gt ky O qtz coes
1068.60 19545.5 NaN NaN NaN 52.2705 NaN NaN 37.2372 3.50694 NaN 6.98532 NaN
1070.62 19747.5 NaN NaN NaN 52.1702 NaN NaN 37.3626 3.45982 NaN 7.00739 NaN
1072.64 19949.5 NaN NaN NaN 52.0759 NaN NaN 37.4809 3.41490 NaN 7.02833 NaN
1074.67 20151.5 NaN NaN NaN 51.9678 NaN NaN 37.6190 3.35801 NaN 7.05528 NaN
1076.69 20353.5 NaN NaN NaN 51.8852 NaN NaN 37.7172 3.32966 NaN 7.06793 NaN
1078.71 20555.6 NaN NaN NaN 51.7698 NaN NaN 37.8655 3.26681 NaN 7.09786 NaN
1080.73 20757.6 NaN NaN NaN 51.6619 NaN NaN 37.9989 3.21873 NaN 7.12043 NaN
1082.75 20959.6 NaN NaN NaN 51.5599 NaN NaN 38.1296 3.16445 NaN 7.14603 NaN
1084.77 21161.6 NaN NaN NaN 51.4493 NaN NaN 38.2642 3.11941 NaN 7.16710 NaN
1086.79 21363.6 NaN NaN NaN 51.3466 NaN NaN 38.3945 3.06730 NaN 7.19161 NaN
1088.81 21565.7 NaN NaN NaN 51.2399 NaN NaN 38.5295 3.01371 NaN 7.21688 NaN
1090.83 21767.7 NaN NaN NaN 51.1356 NaN NaN 38.6587 2.96696 NaN 7.23874 NaN
1092.85 21969.7 NaN NaN NaN 51.0261 NaN NaN 38.7957 2.91502 NaN 7.26320 NaN
1094.87 22171.7 NaN NaN NaN 50.9194 NaN NaN 38.9262 2.87050 NaN 7.28396 NaN
1096.89 22373.7 NaN NaN NaN 50.8047 NaN NaN 39.0694 2.81635 NaN 7.30953 NaN
1098.91 22575.8 NaN NaN NaN 50.6882 NaN NaN 39.2147 2.76171 NaN 7.33534 NaN
1100.93 22777.8 NaN NaN NaN 50.5799 NaN NaN 39.3499 2.71103 NaN 7.35915 NaN
1102.95 22979.8 NaN NaN NaN 50.4737 NaN NaN 39.4827 2.66108 NaN 7.38257 NaN
1104.97 23181.8 NaN NaN NaN 50.3631 NaN NaN 39.6209 2.60881 NaN 7.40717 NaN
1106.99 23383.8 NaN NaN NaN 50.2523 NaN NaN 39.7588 2.55778 NaN 7.43114 NaN
1109.01 23585.9 NaN NaN NaN 50.1379 NaN NaN 39.9018 2.50375 NaN 7.45661 NaN
1111.03 23787.9 NaN NaN NaN 50.0337 NaN NaN 40.0334 2.45208 NaN 7.48085 NaN
1113.05 23989.9 NaN NaN NaN 49.9122 NaN NaN 40.1857 2.39349 NaN 7.50859 NaN
1115.07 24191.9 NaN NaN NaN 49.7988 NaN NaN 40.3245 2.34573 NaN 7.53095 NaN
1117.09 24393.9 NaN NaN NaN 49.6861 NaN NaN 40.4665 2.29030 NaN 7.55707 NaN
1119.11 24596.0 NaN NaN NaN 49.5686 NaN NaN 40.6114 2.23873 NaN 7.58131 NaN
1121.13 24798.0 NaN NaN NaN 49.4542 NaN NaN 40.7542 2.18507 NaN 7.60656 NaN
1123.15 25000.0 NaN NaN NaN 49.3374 NaN NaN 40.8997 2.13090 NaN 7.63207 NaN
