|6.6.6
sammon_2021_eclogite_terrains_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-2068249354
11
T(K) P(bar) O Pl Pl Cpx Opx Sp Gt ky qtz
1094.87 22171.7 NaN NaN NaN 58.2475 NaN NaN 30.7236 4.53021 6.49872
1096.89 22373.7 NaN NaN NaN 58.1424 NaN NaN 30.8548 4.48054 6.52226
1098.91 22575.8 NaN NaN NaN 58.0247 NaN NaN 31.0019 4.42427 6.54914
1100.93 22777.8 NaN NaN NaN 57.9108 NaN NaN 31.1442 4.36999 6.57500
1102.95 22979.8 NaN NaN NaN 57.7922 NaN NaN 31.2937 4.31081 6.60330
1104.97 23181.8 NaN NaN NaN 57.6541 NaN NaN 31.4632 4.25024 6.63240
1106.99 23383.8 NaN NaN NaN 57.5217 NaN NaN 31.6258 4.19253 6.66003
1109.01 23585.9 NaN NaN NaN 57.4368 NaN NaN 31.7367 4.14326 6.68322
1111.03 23787.9 NaN NaN NaN 57.3195 NaN NaN 31.8835 4.08694 6.71007
1113.05 23989.9 NaN NaN NaN 57.1984 NaN NaN 32.0354 4.02796 6.73825
1115.07 24191.9 NaN NaN NaN 57.0757 NaN NaN 32.1875 3.97170 6.76509
1117.09 24393.9 NaN NaN NaN 56.9572 NaN NaN 32.3350 3.91634 6.79145
1119.11 24596.0 NaN NaN NaN 56.8335 NaN NaN 32.4907 3.85508 6.82073
1121.13 24798.0 NaN NaN NaN 56.7057 NaN NaN 32.6493 3.79592 6.84900
1123.15 25000.0 NaN NaN NaN 56.5816 NaN NaN 32.8039 3.73783 6.87671
