|6.6.6
si53_norm_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-133090058
11
T(K) P(bar) Pl Pl Cpx Cpx Opx Gt ky qtz coes
1096.89 22373.7 NaN NaN 47.4918 NaN NaN 33.9758 3.43862 15.0937 NaN
1098.91 22575.8 NaN NaN 47.4126 NaN NaN 34.0766 3.40169 15.1091 NaN
1100.93 22777.8 NaN NaN 47.3316 NaN NaN 34.1794 3.36433 15.1246 NaN
1102.95 22979.8 NaN NaN 47.2503 NaN NaN 34.2828 3.32652 15.1404 NaN
1104.97 23181.8 NaN NaN 47.1682 NaN NaN 34.3871 3.28826 15.1564 NaN
1106.99 23383.8 NaN NaN 47.0793 NaN NaN 34.4993 3.24772 15.1736 NaN
1109.01 23585.9 NaN NaN 47.0029 NaN NaN 34.5967 3.21210 15.1883 NaN
1111.03 23787.9 NaN NaN 46.9213 NaN NaN 34.7013 3.17231 15.2051 NaN
1113.05 23989.9 NaN NaN 46.8391 NaN NaN 34.8064 3.13259 15.2218 NaN
1115.07 24191.9 NaN NaN 46.7511 NaN NaN 34.9156 3.09634 15.2370 NaN
1117.09 24393.9 NaN NaN 46.6730 NaN NaN 35.0160 3.05803 15.2530 NaN
1119.11 24596.0 NaN NaN 46.5848 NaN NaN 35.1262 3.01998 15.2690 NaN
1121.13 24798.0 NaN NaN 46.5026 NaN NaN 35.2306 2.98181 15.2850 NaN
1123.15 25000.0 NaN NaN 46.4152 NaN NaN 35.3411 2.94162 15.3021 NaN
