setting,L0,z0,z1,As,hr0,k,Ts,Tlab,Da,composition,T0,T1,P0,rho0,critical_depth,critical_pressure,critical_temperature,plag_out_pressure,plag_out_temperature,plag_out_depth,max_densification_rate,qs0,qs1
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.03,hacker_2015_bin_4,760.9744402243092,931.012686039533,8181.540000000001,2975.4150722417785,85000.0,30000.0,769.6550473153219,nan,nan,nan,43.3096103462905,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.03,hacker_2015_bin_3,760.9744402243092,931.012686039533,8181.540000000001,3091.0010695386864,85000.0,30000.0,769.6550473153219,21817.44,769.6550473153219,80000.0,41.99894815085499,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.03,sammon_2021_lower_crust,760.9744402243092,931.012686039533,8181.540000000001,3241.530554618825,80000.0,21817.44,769.6550473153219,21817.44,769.6550473153219,80000.0,29.86073544356209,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.03,sammon_2021_deep_crust,760.9744402243092,931.012686039533,8181.540000000001,3131.7524407551396,85000.0,30000.0,769.6550473153219,21817.44,769.6550473153219,80000.0,33.021241205166454,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.03,hacker_2015_bin_2,760.9744402243092,931.012686039533,8181.540000000001,3227.7395043290176,80000.0,21817.44,769.6550473153219,21817.44,769.6550473153219,80000.0,39.618227987920136,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.03,hacker_2015_md_xenolith,760.9744402243092,931.012686039533,8181.540000000001,3278.658831032054,80000.0,21817.44,769.6550473153219,21817.44,769.6550473153219,80000.0,31.18737731545453,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.03,hacker_2015_bin_1,760.9744402243092,931.012686039533,8181.540000000001,3321.2987048884875,80000.0,21817.44,769.6550473153219,21817.44,769.6550473153219,80000.0,35.36179499341124,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.03,mackwell_1998_maryland_diabase,760.9744402243092,931.012686039533,8181.540000000001,3333.4019491083536,80000.0,21817.44,769.6550473153219,21817.44,769.6550473153219,80000.0,25.069995567174058,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.01,hacker_2015_bin_4,760.9744402243092,931.012686039533,8181.540000000001,2975.4150722417785,85000.0,30000.0,769.6550473153219,nan,nan,nan,15.06822214496808,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.01,hacker_2015_bin_3,760.9744402243092,931.012686039533,8181.540000000001,3091.0010695386864,85000.0,30000.0,769.6550473153219,nan,nan,nan,14.546591577572627,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.01,sammon_2021_lower_crust,760.9744402243092,931.012686039533,8181.540000000001,3241.530554618825,85000.0,30000.0,769.6550473153219,nan,nan,nan,10.238421116191999,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.01,sammon_2021_deep_crust,760.9744402243092,931.012686039533,8181.540000000001,3131.7524407551396,85000.0,30000.0,769.6550473153219,nan,nan,nan,11.3560962796155,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.01,hacker_2015_bin_2,760.9744402243092,931.012686039533,8181.540000000001,3227.7395043290176,80000.0,21817.44,769.6550473153219,nan,nan,nan,13.633266857885568,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.01,hacker_2015_md_xenolith,760.9744402243092,931.012686039533,8181.540000000001,3278.658831032054,80000.0,21817.44,769.6550473153219,nan,nan,nan,10.678771450261996,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.01,hacker_2015_bin_1,760.9744402243092,931.012686039533,8181.540000000001,3321.2987048884875,80000.0,21817.44,769.6550473153219,nan,nan,nan,12.065129425183056,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.01,mackwell_1998_maryland_diabase,760.9744402243092,931.012686039533,8181.540000000001,3333.4019491083536,80000.0,21817.44,769.6550473153219,nan,nan,nan,8.542623473133656,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.3,hacker_2015_bin_4,760.9744402243092,931.012686039533,8181.540000000001,2975.4150722417785,85000.0,30000.0,769.6550473153219,21817.44,769.6550473153219,80000.0,368.60372041963365,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.3,hacker_2015_bin_3,760.9744402243092,931.012686039533,8181.540000000001,3091.0010695386864,85000.0,30000.0,769.6550473153219,21817.44,769.6550473153219,80000.0,355.8324850364012,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.3,sammon_2021_lower_crust,760.9744402243092,931.012686039533,8181.540000000001,3241.530554618825,80000.0,21817.44,769.6550473153219,21817.44,769.6550473153219,80000.0,247.68555308068807,0.05771179364815229,0.050773116395072794
transitional-3,88000.0,30000.0,80000.0,1.5e-06,9500.0,3.0,283.15,1603.15,0.3,sammon_2021_deep_crust,760.9744402243092,931.012686039533,8181.540000000001,3131.7524407551396,85000.0,30000.0,769.6550473153219,21817.44,769.6550473153219,80000.0,277.3388240990291,0.05771179364815229,0.050773116395072794
